Longitude,Latitude,Value
-62.587216168405455,-4.530713575883219,177.6331412253991
-63.532083080179234,-0.45186590281703776,234.8260591072126
-66.3970657281664,-1.6539986853096078,151.98099584856658
-60.659292845821,-0.8535660034162227,169.03844169884212
-71.99288226707395,-0.6051054985886637,283.49716862639804
-73.36103684535568,-2.141138239758389,158.10090113428407
-62.190570495668666,-2.4127682412247937,193.99765363158733
-68.41275275049378,-2.847862948395049,278.02822747920294
-62.29546718689409,-3.4152670610444034,241.5442700535055
-61.603646922068776,-2.8270201957064414,112.44064523294055
-74.06313609571393,-1.130601721349218,129.46060885579408
-61.74802855520909,-1.9903828449243424,101.56831815438336
-68.27521416945866,-0.5373835502257691,226.18435804583268
-67.34351266493651,-2.783099928104061,189.53468508208368
-65.60111233360185,-1.96455210640623,126.8549701804551
-61.1042608990487,-1.8434622345400564,291.5868242113541
-74.71325858355354,-2.0415141884683723,205.93194478912397
-67.84734797523274,-1.4868311345724186,148.37865882257785
-64.68416936354159,-3.8128326581259686,200.12071423094153
-64.15939563452658,-2.438181112271047,235.92406654702157
-64.61201352694339,-4.478875985958261,115.24784359471289
-72.98347305887818,-3.0774433617759374,154.9407630095784
-70.50906617442479,-2.561664656893678,261.39309817679873
-69.6192671187448,-1.7388787022726375,191.93297408053223
-62.93344188480742,-0.24734473706898275,209.31542840645898
-70.8186019137817,-1.9967446672582208,186.56320044189385
-71.83942554199196,-1.2820304191172012,108.77998852860102
-60.638279714428556,-2.4686697025239863,133.1499559640312
-74.86705072329796,-1.8294798431183432,189.10832774837817
-60.03268716477032,-4.645338919331133,141.83709308158558
-64.84768051713907,-3.728042095790765,109.99580573193575
-62.57296050826324,-3.1907345339743065,268.72993281036474
-70.5807090548071,-2.637533224967432,296.2385058328232
-74.7852708349941,-4.771756272488082,258.6285747993479
-63.93195722157705,-4.299879512233412,270.7569843409334
-62.48783104498986,-3.615928461043471,148.39542606340908
-63.89285802069721,-0.1423365454947465,292.1253951026399
-72.85724569048742,-3.3432649644847463,139.38514089068568
-63.698581166145466,-2.5897947094395875,290.2859620723665
-63.466158268385385,-4.0195114363080355,298.9638587931902
-65.12189226494918,-1.9460996446211585,242.34456114920974
-63.508261008066206,-3.5965839224201286,296.2287463583644
-62.31117840483402,-3.9650371078078663,213.90795591342072
-65.79593828643813,-2.417136857770105,151.90835663521807
-73.67092929045481,-4.972471004197896,187.39917713312417
-67.68558285499184,-4.9616798367538735,218.71218707575719
-73.83525997992592,-3.9046559544907113,114.616312405403
-68.88685453451353,-4.816393187495894,224.4686529234492
-68.89340266311558,-4.459871229346543,296.23556735245893
-74.00985233789638,-3.305696753306242,138.02152995674552
-69.7676919904578,-0.9870716021009356,258.5190232576766
-73.33502851813027,-2.139756783153496,281.5797587559239
-62.876471849861666,-2.436661370217918,288.7403185640442
