Latitude,Longitude,Soil_Moisture
19.9972904682524,-155.999064202415,39.96124142116517
19.135173590522232,-155.250251800786,16.432373729906885
18.50026938600897,-155.35650803371252,31.186436921709625
19.52225827847446,-154.83433924642347,33.23327685593858
18.593703817055207,-154.6878258790375,35.03081448525302
19.0523391156418,-156.4756864570452,39.91699040907548
19.91395297491143,-155.1519601618824,13.452376983990375
18.62537924324373,-156.39632840176054,6.4122789400894895
20.178676984712006,-155.40228266984528,19.39170312981051
18.507639845317165,-155.92473454191264,9.552823444013143
18.993647738403805,-155.88644680095572,5.78490612067193
19.981808112304144,-155.7940829930953,17.614938949952013
19.132540299458615,-155.2574151019008,32.43083878763328
18.70378477613203,-155.83190006866246,24.81632419287748
19.220467837600857,-155.03460189881943,15.947229622362391
19.04078657276905,-155.69094522885226,27.90197019224519
20.18542380432111,-156.36329359938009,13.120636310808376
19.126695835170285,-154.9324803150318,5.503350612522976
20.077864943552015,-155.9284833508146,31.752368525274957
20.28374428962147,-155.6344662408015,26.831007970240318
19.36763483915306,-155.12911223355619,31.6805918575336
20.319886287708783,-155.83508768570258,6.362830584068297
19.254636107926387,-156.38682868770658,34.299186974072825
20.428156832980218,-155.75215790597437,26.683417001270616
18.678579049051145,-154.6111028346114,24.718837274942405
19.874038533006484,-155.21653120540287,26.861491684008605
19.487628080913858,-155.1570417026656,35.255163640392745
19.275297610911295,-155.2354356927247,25.542777729561745
19.765423757497203,-156.10201572208112,25.333263296086276
19.907714183268663,-155.66333227179544,39.6737704973018
18.508726539300618,-154.99812040327336,31.48555584739988
18.8339061774944,-156.29725420489368,20.480283190789734
19.926092101268637,-155.94429444782057,29.75889500115247
19.832770827156413,-155.9473617830683,18.6230665092126
20.432095010257356,-155.63596214481097,13.010641186922465
20.022075580501564,-154.53926251811563,25.88981569107158
20.401545415462675,-156.36499490663235,37.4863734339883
19.905081003069615,-155.4625980112388,37.519883200541194
19.096104417278887,-156.1412706359756,16.966684733692162
18.710729844501714,-154.5586469091805,23.468711317759325
20.063647726689872,-156.27339299054506,12.407256449945141
19.78829844295183,-155.6927979952768,39.84708883246092
18.596372024786593,-155.02423003033078,39.33912677537775
19.220100931801955,-155.0908911439451,27.73281253976066
20.413599630968573,-155.65454272621213,33.154492088711564
19.500802291420403,-155.80695166409456,30.0285056449295
19.365458272039408,-155.70477524289427,25.76053766638139
19.415399210318586,-155.97144747368273,6.86717989461142
18.91776544801033,-156.0893341225864,20.916751989343137
19.23741434172959,-155.5339206048822,28.61752057585937
19.239626511974354,-155.96293248786478,28.713606485928963
18.604710040374943,-155.9250766702055,18.059291644783425
20.035135257035837,-155.18648787305088,37.95921953303107
19.33300886380776,-154.56292533660022,10.857496128287334
20.144359773632846,-155.29272559888125,22.51258061754462
20.20069600223979,-156.34604106587005,29.1809391792788
18.923988109397317,-156.34883277229187,29.399753206213322
19.814706964340257,-154.59715355830886,27.702363486908546
19.444563608325964,-155.90541841938534,14.635087470815106
20.26031347584297,-156.31586602783506,10.467229904031768
18.931481358352908,-155.30191082569922,27.25791143893488
19.85562640062009,-155.25270244341948,25.97557406488032
19.715504244505446,-155.20299035976262,11.277460360123435
19.090602955143666,-155.96519594428491,29.67987009496972
18.773201807302346,-156.46977863157105,20.931019710677973
19.803279520954554,-154.56996926109105,28.371620706110352
19.97719491626466,-155.9982139086178,34.307847791955275
19.1312546875267,-155.1479474238949,10.94049500019231
19.789665208044628,-155.08674026024258,5.6700703798892835
19.290261815223005,-155.27998516584103,32.26859052385254
19.926413766565236,-155.8741852115727,26.339409880341556
18.898430549788106,-155.95780749247186,29.48738493677426
20.28043000527235,-155.3046634345946,34.33542412460249
19.07481919293116,-154.76780873277661,33.09838271885752
19.235571975512308,-154.60653254215322,38.632205142508866
